[Nom enseignant];[Nom salle];[Promo];[Matiere];[Date debut];[Heure debut];[Duree];[Ecole];[Site campus];[Numero cours]
MOREAU EMILIE;CD-1.11 N - Co-DF (M) (32);<BACH2> Bachelor 2 Gr01;Entrepreneuriat;30/03/2026;18:30:00;2;ECE BACHELOR;Coeur defense;5087.03
BERNARD CLAIRE;CD-1.11 N - Co-DF (M) (32);<CLASSES> Ing2 Gr04;Communication;30/03/2026;19:45:00;1;ECE BACHELOR;Coeur defense;5088.04
HAJ HAMAD IMEN;CD-4.01 N - Co-DF (M) (36) (Clevertouch);<MAST1> Master 1 Cloud;Informatique PREPA;30/03/2026;08:30:00;2;ECE PREPA;Coeur defense;5038.03
MARTIN SOPHIE;CD-4.01 N - Co-DF (M) (36) (Clevertouch);<MAST1> Master 1 DataScience;Thermodynamique;30/03/2026;13:00:00;1;ECE PREPA;Coeur defense;5039.01
KHOURY CLAUDE;CD-4.01 N - Co-DF (M) (36) (Clevertouch);<CLASSES> Ing2 Gr05;Robotique;30/03/2026;14:00:00;2;ECE INGENIEUR;Coeur defense;5037.05
THOMAS ALICE;CD-4.01 N - Co-DF (M) (36) (Clevertouch);<CLASSES> Ing2 Gr01;Finance d'entreprise;30/03/2026;17:30:00;1;ECE BACHELOR;Coeur defense;5040.03
LEROY INÈS;CD-5.16 N - Co-DF (M) (46) (Clevertouch);<CLASSES> Ing2 Gr04;Management;30/03/2026;13:00:00;1;ECE BACHELOR;Coeur defense;5041.04
DAVID SARAH;CD-5.16 N - Co-DF (M) (46) (Clevertouch);<CLASSES> Ing3 Gr01;NLP;30/03/2026;15:15:00;1;ECE MASTER;Coeur defense;5042.05
SIMON THOMAS;CD-6.12 N - Co-DF (M) (30) (Clevertouch);<PREPA1> Prepa 1ere annee Gr01;Audit SI;30/03/2026;10:45:00;1;ECE MASTER;Coeur defense;5028.01
SIMON THOMAS;CD-6.12 N - Co-DF (M) (30) (Clevertouch);<CLASSES> Ing2 Gr01;Finance d'entreprise;30/03/2026;14:00:00;1;ECE BACHELOR;Coeur defense;5029.05
